Survived,Pclass,Sex,Fare,FamilySize,IsAlone,AgeGroup
0,3,0,7.25,2,0,2
1,1,1,71.2833,2,0,3
1,3,1,7.925,1,1,2
1,1,1,53.1,2,0,2
0,3,0,8.05,1,1,2
0,3,0,8.4583,1,1,4
0,1,0,51.8625,1,1,3
0,3,0,21.075,5,0,0
1,3,1,11.1333,3,0,2
1,2,1,30.0708,2,0,1
1,3,1,16.7,3,0,0
1,1,1,26.55,1,1,4
0,3,0,8.05,1,1,2
0,3,0,31.275,7,0,3
0,3,1,7.8542,1,1,1
1,2,1,16.0,1,1,3
0,3,0,29.125,6,0,0
1,2,0,13.0,1,1,4
0,3,1,18.0,2,0,2
1,3,1,7.225,1,1,4
0,2,0,26.0,1,1,2
1,2,0,13.0,1,1,2
1,3,1,8.0292,1,1,1
1,1,0,35.5,1,1,2
0,3,1,21.075,5,0,0
1,3,1,31.3875,7,0,3
0,3,0,7.225,1,1,4
0,1,0,263.0,6,0,1
1,3,1,7.8792,1,1,4
0,3,0,7.8958,1,1,4
0,1,0,27.7208,1,1,3
1,1,1,146.5208,2,0,4
1,3,1,7.75,1,1,4
0,2,0,10.5,1,1,4
0,1,0,82.1708,2,0,2
0,1,0,52.0,2,0,3
1,3,0,7.2292,1,1,4
0,3,0,8.05,1,1,2
0,3,1,18.0,3,0,1
1,3,1,11.2417,2,0,1
0,3,1,9.475,2,0,3
0,2,1,21.0,2,0,2
0,3,0,7.8958,1,1,4
1,2,1,41.5792,4,0,0
1,3,1,7.8792,1,1,1
0,3,0,8.05,1,1,4
0,3,0,15.5,2,0,4
1,3,1,7.75,1,1,4
0,3,0,21.6792,3,0,4
0,3,1,17.8,2,0,1
0,3,0,39.6875,6,0,0
0,3,0,7.8,1,1,2
1,1,1,76.7292,2,0,3
1,2,1,26.0,2,0,2
0,1,0,61.9792,2,0,4
1,1,0,35.5,1,1,4
1,2,1,10.5,1,1,2
0,3,0,7.2292,1,1,2
1,2,1,27.75,4,0,0
0,3,0,46.9,8,0,0
0,3,0,7.2292,1,1,2
1,1,1,80.0,1,1,3
0,1,0,83.475,2,0,3
0,3,0,27.9,6,0,0
0,1,0,27.7208,1,1,4
1,3,0,15.2458,3,0,4
1,2,1,10.5,1,1,2
0,3,0,8.1583,1,1,1
1,3,1,7.925,7,0,1
0,3,0,8.6625,3,0,2
0,2,0,10.5,1,1,2
0,3,1,46.9,8,0,1
0,2,0,73.5,1,1,2
0,3,0,14.4542,2,0,2
1,3,0,56.4958,1,1,2
0,3,0,7.65,1,1,2
0,3,0,7.8958,1,1,4
0,3,0,8.05,1,1,4
1,2,0,29.0,3,0,0
1,3,1,12.475,1,1,2
0,3,0,9.0,1,1,2
1,3,0,9.5,1,1,2
1,3,1,7.7875,1,1,4
0,1,0,47.1,1,1,2
1,2,1,10.5,1,1,1
1,3,1,15.85,4,0,2
0,3,0,34.375,5,0,1
0,3,0,8.05,1,1,4
1,1,1,263.0,6,0,2
0,3,0,8.05,1,1,2
0,3,0,8.05,1,1,2
0,3,0,7.8542,1,1,2
0,1,0,61.175,2,0,3
0,3,0,20.575,4,0,2
0,3,0,7.25,1,1,4
0,3,0,8.05,1,1,4
0,1,0,34.6542,1,1,4
1,1,0,63.3583,2,0,2
1,2,1,23.0,2,0,2
0,2,0,26.0,2,0,2
0,3,1,7.8958,1,1,2
0,3,0,7.8958,1,1,4
0,1,0,77.2875,2,0,2
0,3,0,8.6542,1,1,2
0,3,0,7.925,3,0,3
0,3,0,7.8958,1,1,2
1,3,1,7.65,1,1,2
1,3,0,7.775,1,1,4
0,3,0,7.8958,1,1,3
1,3,1,24.15,2,0,4
0,1,0,52.0,1,1,3
0,3,1,14.4542,2,0,1
0,3,0,8.05,1,1,2
0,3,1,9.825,2,0,2
0,3,1,14.4583,1,1,1
0,3,0,7.925,1,1,2
0,3,0,7.75,1,1,4
0,2,0,21.0,2,0,2
0,1,0,247.5208,2,0,2
0,3,1,31.275,7,0,0
0,2,0,73.5,3,0,2
